grid_version,workload,SLA,best_E,best_R,selected_E,selected_R,exact_set_agreement,overlap,strict_mismatch,comparison,na_reason,selected_equal,selected_E_in_best_R,tie_only_mismatch,abstention,censored_best_set,incomplete_coverage,scores
G0,h102,S5,,"[0,-1,1,-2,2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
G0,h102,S6,,"[0,-1,1,-2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.4305389646,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.4305389646,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.4305389646,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.4305389646,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.4305389646,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.4305389646,""C_upper"":0.4305389646,""identified"":true,""C"":0.4305389646},""-1"":{""C_lower"":0.4305389646,""C_upper"":0.4305389646,""identified"":true,""C"":0.4305389646},""0"":{""C_lower"":0.4305389646,""C_upper"":0.4305389646,""identified"":true,""C"":0.4305389646},""1"":{""C_lower"":0.4305389646,""C_upper"":0.4305389646,""identified"":true,""C"":0.4305389646},""2"":{""C_lower"":0.362038672,""C_upper"":0.362038672,""identified"":true,""C"":0.362038672}}}"
G0,h103,S1,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h103,S2,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h103,S3,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h103,S4,,"[0,-1,-2]",-1,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.016,""C_upper"":0.016,""identified"":true,""C"":0.016},""2"":{""C_lower"":0.016,""C_upper"":0.016,""identified"":true,""C"":0.016}}}"
G0,h103,S5,,"[0,-1,1,-2,2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
G0,h103,S6,,"[0,-1,1,-2,2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.512,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.512,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.512,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.512,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.512,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.7240773439,""C_upper"":0.7240773439,""identified"":true,""C"":0.7240773439},""-1"":{""C_lower"":0.7240773439,""C_upper"":0.7240773439,""identified"":true,""C"":0.7240773439},""0"":{""C_lower"":0.7240773439,""C_upper"":0.7240773439,""identified"":true,""C"":0.7240773439},""1"":{""C_lower"":0.7240773439,""C_upper"":0.7240773439,""identified"":true,""C"":0.7240773439},""2"":{""C_lower"":0.7240773439,""C_upper"":0.7240773439,""identified"":true,""C"":0.7240773439}}}"
G0,h104,S1,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h104,S2,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h104,S3,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h104,S4,,"[0,-1,-2]",-2,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.016,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.016,""C_upper"":0.016,""identified"":true,""C"":0.016},""2"":{""C_lower"":0.016,""C_upper"":0.016,""identified"":true,""C"":0.016}}}"
G0,h104,S5,,"[0,-1,1,-2,2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
G0,h104,S6,,"[0,-1,1,-2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.3044370215,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.3044370215,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.3044370215,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.3044370215,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.3044370215,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.3044370215,""C_upper"":0.3044370215,""identified"":true,""C"":0.3044370215},""-1"":{""C_lower"":0.3044370215,""C_upper"":0.3044370215,""identified"":true,""C"":0.3044370215},""0"":{""C_lower"":0.3044370215,""C_upper"":0.3044370215,""identified"":true,""C"":0.3044370215},""1"":{""C_lower"":0.3044370215,""C_upper"":0.3044370215,""identified"":true,""C"":0.3044370215},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
G0,h105,S1,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h105,S2,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h105,S3,,[],,,,[],,undefined,unknown full best set,,,False,abstain_unknown,False,True,"{""E"":{""-2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""-1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""0"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""1"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0},""2"":{""C_lower"":0,""C_upper"":0,""identified"":true,""C"":0}}}"
G0,h105,S4,,"[0,-1,1,-2,2]",0,0,,[],,undefined,unknown full best set,,True,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.045254834,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""-1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""0"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
G0,h105,S5,,[-1],0,-1,,[],,undefined,unknown full best set,,False,False,,False,True,"{""E"":{""-2"":{""C_lower"":0.256,""C_upper"":65.536,""identified"":false,""C"":null},""-1"":{""C_lower"":0.256,""C_upper"":65.536,""identified"":false,""C"":null},""0"":{""C_lower"":0.256,""C_upper"":65.536,""identified"":false,""C"":null},""1"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null},""2"":{""C_lower"":0.064,""C_upper"":65.536,""identified"":false,""C"":null}},""R"":{""-2"":{""C_lower"":0.256,""C_upper"":0.256,""identified"":true,""C"":0.256},""-1"":{""C_lower"":5.7926187515,""C_upper"":5.7926187515,""identified"":true,""C"":5.7926187515},""0"":{""C_lower"":0.256,""C_upper"":0.256,""identified"":true,""C"":0.256},""1"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064},""2"":{""C_lower"":0.064,""C_upper"":0.064,""identified"":true,""C"":0.064}}}"
